Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1641,Lion: 8531,IR-SAT Tag,72,3/4/2025 4:26,Every 2 hours,-3.660478°,38.105243°,(-),10 meters,0 km/h,3.69 Volt,47°C,(-),Y,"[8044,407,13505]",N,0,Y,0
1642,Lion: 8530,IR-SAT Tag,72,3/4/2025 4:42,Every 2 hours,-3.523618°,38.103185°,(-),<10 meters,0 km/h,3.65 Volt,43°C,(-),Y,"[-9427,2437,12098]",N,0,Y,0
1643,Lion: 8529,IR-SAT Tag,72,3/4/2025 4:50,Every 2 hours,-3.541817°,38.233383°,(-),10 meters,0 km/h,3.63 Volt,46°C,(-),Y,"[14967,-687,-5690]",N,0,N,2
1644,Lion: 8528,IR-SAT Tag,72,3/4/2025 5:00,Every 2 hours,-3.645883°,38.240593°,(-),20 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[12632,1313,-9911]",N,0,N,2
1646,Lion: 8530,IR-SAT Tag,72,3/4/2025 6:43,Every 2 hours,-3.523640°,38.103135°,(-),10 meters,0 km/h,3.65 Volt,41°C,(-),Y,"[-15487,113,-2367]",N,0,N,2
1647,Lion: 8529,IR-SAT Tag,72,3/4/2025 6:51,Every 2 hours,-3.542548°,38.234750°,(-),10 meters,0 km/h,3.64 Volt,41°C,(-),Y,"[-251,-869,-14780]",N,0,Y,1
1648,Lion: 8528,IR-SAT Tag,72,3/4/2025 7:00,Every 2 hours,-3.645907°,38.240537°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[15343,-1851,-4718]",N,0,Y,1
1649,Lion: 8531,IR-SAT Tag,72,3/4/2025 8:29,Every 2 hours,-3.660458°,38.105325°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[-14481,-1883,4839]",N,0,N,2
1650,Lion: 8530,IR-SAT Tag,72,3/4/2025 8:43,Every 2 hours,-3.523278°,38.104303°,(-),10 meters,0 km/h,3.64 Volt,37°C,(-),Y,"[-11384,-2075,10463]",N,0,Y,0
1651,Lion: 8529,IR-SAT Tag,72,3/4/2025 8:50,Every 2 hours,-3.544143°,38.230385°,(-),10 meters,3 km/h,3.63 Volt,35°C,(-),Y,"[10428,1998,16914]",N,0,Y,0
1652,Lion: 8528,IR-SAT Tag,72,3/4/2025 9:00,Every 2 hours,-3.645905°,38.240612°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[12562,-2449,9536]",N,0,Y,0
1653,Lion: 8531,IR-SAT Tag,72,3/4/2025 10:29,Every 2 hours,-3.649325°,38.103072°,(-),10 meters,0 km/h,3.69 Volt,35°C,(-),Y,"[16282,797,1969]",N,0,Y,0
1654,Lion: 8530,IR-SAT Tag,72,3/4/2025 10:44,Every 2 hours,-3.535920°,38.131153°,(-),10 meters,0 km/h,3.64 Volt,33°C,(-),Y,"[8911,-4134,12650]",N,0,Y,1
1655,Lion: 8529,IR-SAT Tag,72,3/4/2025 10:51,Every 2 hours,-3.550073°,38.220990°,(-),10 meters,0 km/h,3.63 Volt,31°C,(-),Y,"[9218,-7461,10407]",N,0,Y,0
1656,Lion: 8528,IR-SAT Tag,72,3/4/2025 11:00,Every 2 hours,-3.636900°,38.233078°,(-),<10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[-385,-4875,14507]",N,0,Y,1
1657,Lion: 8531,IR-SAT Tag,72,3/4/2025 12:29,Every 2 hours,-3.649210°,38.103037°,(-),<10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[15465,-2677,6729]",N,0,Y,0
1658,Lion: 8530,IR-SAT Tag,72,3/4/2025 12:44,Every 2 hours,-3.538952°,38.149480°,(-),10 meters,2 km/h,3.65 Volt,30°C,(-),Y,"[8071,510,13987]",N,0,Y,0
1659,Lion: 8529,IR-SAT Tag,72,3/4/2025 12:52,Every 2 hours,-3.548692°,38.217840°,(-),10 meters,0 km/h,3.63 Volt,29°C,(-),Y,"[1826,-3757,15161]",N,0,Y,0
1660,Lion: 8528,IR-SAT Tag,72,3/4/2025 13:00,Every 2 hours,-3.634812°,38.234722°,(-),<10 meters,2 km/h,3.69 Volt,30°C,(-),Y,"[9264,1364,13745]",N,0,Y,1
1661,Lion: 8531,IR-SAT Tag,72,3/4/2025 14:30,Every 2 hours,-3.647952°,38.095572°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[8658,-4784,12392]",N,0,Y,0
